cartier,pret_per_mp,probleme_apa_calda
13 Septembrie / Trafic Greu,2219.5,FALSE
23 august,1110,FALSE
Aparatorii Patriei,1239,FALSE
Aviatiei,2926,TRUE
Baicului,1360,FALSE
Balta Alba - Titan,1472,FALSE
Baneasa,2505,FALSE
Berceni,1318.25,FALSE
Bucurestii Noi,1792,FALSE
Carol,2633,FALSE
Cartierul Francez,3064,FALSE
Centrul Vechi,2120,FALSE
Chitila,1698,FALSE
Chitila - Triaj,1100,FALSE
Colentina,1444.25,TRUE
Cotroceni,2669,FALSE
Crangasi,1830.5,FALSE
Damaroaia,2065,FALSE
Damaroaia / Petrom,3120,FALSE
Domenii,2569,FALSE
Dristor,1590.75,FALSE
Drumul Taberei,1415,TRUE
Ferentari,942,TRUE
Floreasca,2953.5,FALSE
Fundeni,1388,TRUE
Ghencea,1415,FALSE
Giulesti,1830.5,FALSE
Giulesti Sarbi,1366,FALSE
Giurgiului,1318.25,FALSE
Grivita,1823.75,TRUE
Henri - Coanda,2550,FALSE
Iancului,1656.5,FALSE
IMGB,1300,FALSE
Ion Creanga - Andronache,1538,FALSE
Kiseleff,4966,FALSE
Malaxa (1918),1380,FALSE
Militari,1505.5,TRUE
Obor,1444.25,FALSE
Padurea Baneasa / Jandarmeriei,1867,FALSE
Pajura,1824,FALSE
Pantelimon,1360.75,TRUE
Pipera,2311,FALSE
Plevnei / Gara de Nord,1966,FALSE
Policolor,1380,FALSE
Politehnica,2182,FALSE
Primaverii / Dorobanti,4397,FALSE
Progresul,1343,FALSE
Rahova,1315.5,TRUE
Romexpo,2421,FALSE
Salajan - Trapezului,1847,FALSE
Straulesti,1372,FALSE
Tei,1669.75,TRUE
Tineretului,1850.25,FALSE
Unirii - Alba Iulia,2220,FALSE
Uranus,2313,FALSE
Vacaresti,1790,FALSE
Valea Cascadelor,1402,FALSE
Vatra Luminoasa,1746,FALSE
Vitan,1895.75,FALSE
Zona Centru Nord,2860,FALSE
